# L=128 N=128  Task2 precise: canonical N=L
# therm=2000000  nmeas=100000000  nbin=200
# T  E/N  err_E/N  Cv/N  err_Cv/N  accept_rate  E_total  tau_int
0.050000  0.00000000  0.00000000  0.00000000  0.00000000  0.000000  0.0000  0.5
0.075000  0.00029130  0.00006645  0.05226067  0.01196619  0.000001  0.0373  18123.1
0.100000  0.00552363  0.00018066  0.47033044  0.01173425  0.000030  0.7070  15921.9
0.125000  0.02345392  0.00013553  0.91226837  0.01155899  0.000258  3.0021  7076.4
0.150000  0.04982913  0.00008893  1.21151551  0.00770709  0.001014  6.3781  1793.2
0.175000  0.08301617  0.00005708  1.43000875  0.00505667  0.002757  10.6261  586.9
0.200000  0.12064410  0.00004666  1.55385500  0.00305627  0.005943  15.4424  255.7
0.225000  0.16034075  0.00004177  1.61530650  0.00257681  0.010874  20.5236  133.1
0.250000  0.20098548  0.00003365  1.61436873  0.00205746  0.017741  25.7261  76.2
0.275000  0.24092055  0.00002970  1.57702237  0.00153047  0.026430  30.8378  48.7
0.300000  0.27973628  0.00002572  1.52014143  0.00124064  0.036789  35.8062  33.0
0.325000  0.31675187  0.00002336  1.44692959  0.00092190  0.048497  40.5442  23.7
0.350000  0.35194113  0.00001980  1.36856067  0.00073337  0.061289  45.0485  18.1
0.375000  0.38520504  0.00002057  1.29217703  0.00068542  0.074891  49.3062  14.3
0.400000  0.41658112  0.00001731  1.21980281  0.00054903  0.089059  53.3224  11.8
0.425000  0.44624223  0.00001609  1.15053183  0.00048994  0.103593  57.1190  10.0
0.450000  0.47418737  0.00001768  1.08647560  0.00040509  0.118312  60.6960  8.7
0.475000  0.50058827  0.00001477  1.02690365  0.00036653  0.133101  64.0753  7.9
0.500000  0.52559337  0.00001506  0.97322333  0.00031508  0.147855  67.2760  7.2
0.550000  0.57180674  0.00001411  0.87743695  0.00024491  0.176963  73.1913  6.3
0.600000  0.61358745  0.00001274  0.79646700  0.00024190  0.205190  78.5392  5.8
0.700000  0.68647031  0.00001169  0.66816273  0.00015102  0.258191  87.8682  5.3
0.800000  0.74823140  0.00001072  0.57138342  0.00011790  0.306191  95.7736  5.1
0.900000  0.80148899  0.00001006  0.49629648  0.00010463  0.349340  102.5906  5.1
1.000000  0.84800488  0.00001072  0.43626706  0.00008876  0.387982  108.5446  5.0
1.500000  1.01560065  0.00000974  0.25891137  0.00004231  0.530734  129.9969  5.0
2.000000  1.12160312  0.00000982  0.17397738  0.00002790  0.620554  143.5652  5.0
3.000000  1.25047604  0.00001046  0.09576647  0.00001496  0.725906  160.0609  5.0
5.000000  1.37775935  0.00001137  0.04243410  0.00000669  0.823739  176.3532  5.0
10.000000  1.49420826  0.00001078  0.01283603  0.00000191  0.906746  191.2587  5.0
