# L=64 N=64  Task2 peak region: T=0.200~0.300 step 0.001 (new points only)
# therm=2000000  nmeas=100000000  nbin=200
# T  E/N  err_E/N  Cv/N  err_Cv/N  accept_rate  E_total  tau_int
0.224000  0.15511151  0.00005457  1.61691494  0.00252811  0.011150  9.9271  138.2
0.226000  0.15821065  0.00006391  1.61255729  0.00290851  0.011615  10.1255  132.5
0.227000  0.15998135  0.00006074  1.61990887  0.00255994  0.011892  10.2388  129.4
0.228000  0.16150928  0.00005904  1.61696831  0.00255992  0.012131  10.3366  125.1
0.229000  0.16321088  0.00006051  1.62153206  0.00263340  0.012396  10.4455  122.9
0.230000  0.16485946  0.00005065  1.61026532  0.00251530  0.012658  10.5510  118.7
0.231000  0.16625442  0.00005417  1.62551418  0.00263921  0.012886  10.6403  118.0
0.232000  0.16809154  0.00005667  1.62041876  0.00239629  0.013181  10.7579  113.4
0.233000  0.16956604  0.00005587  1.62193403  0.00251562  0.013432  10.8522  111.4
0.234000  0.17124023  0.00005069  1.61870912  0.00229885  0.013705  10.9594  108.8
0.235000  0.17286660  0.00005579  1.62222688  0.00237607  0.013983  11.0635  108.2
0.236000  0.17445343  0.00005163  1.62711851  0.00227474  0.014253  11.1650  104.5
0.237000  0.17614594  0.00005176  1.61455406  0.00226546  0.014547  11.2733  102.3
0.238000  0.17780528  0.00005472  1.62375434  0.00223445  0.014837  11.3795  99.1
0.239000  0.17937895  0.00005110  1.62350970  0.00229726  0.015114  11.4803  96.8
0.240000  0.18100420  0.00004973  1.62207806  0.00238245  0.015400  11.5843  95.6
0.241000  0.18260996  0.00005204  1.62089538  0.00220877  0.015693  11.6870  93.3
0.242000  0.18427650  0.00005215  1.61892899  0.00215351  0.015996  11.7937  91.9
0.243000  0.18583785  0.00005363  1.62094293  0.00223831  0.016288  11.8936  89.1
0.244000  0.18749908  0.00005434  1.62342589  0.00216939  0.016592  11.9999  88.3
0.245000  0.18907134  0.00005334  1.61893746  0.00200238  0.016891  12.1006  86.8
0.246000  0.19074713  0.00004933  1.61648050  0.00213459  0.017207  12.2078  83.7
0.247000  0.19245714  0.00004940  1.61640177  0.00208582  0.017533  12.3173  83.0
0.248000  0.19387263  0.00004848  1.62251544  0.00224711  0.017819  12.4078  81.3
0.249000  0.19559373  0.00004962  1.61786991  0.00183608  0.018154  12.5180  78.7
0.251000  0.19876312  0.00004883  1.61466785  0.00199018  0.018787  12.7208  76.2
0.252000  0.20035439  0.00004613  1.61432122  0.00199559  0.019110  12.8227  74.5
0.253000  0.20213136  0.00004843  1.61296523  0.00193387  0.019468  12.9364  72.2
0.254000  0.20362345  0.00004610  1.61217567  0.00197066  0.019775  13.0319  71.5
0.255000  0.20537096  0.00004699  1.61268195  0.00188478  0.020137  13.1437  70.3
0.256000  0.20695755  0.00005096  1.60766365  0.00195158  0.020473  13.2453  68.4
0.257000  0.20852293  0.00004855  1.60714229  0.00195272  0.020802  13.3455  67.3
0.258000  0.21009354  0.00004410  1.60651129  0.00178562  0.021145  13.4460  65.9
0.259000  0.21170274  0.00004302  1.60682308  0.00191398  0.021490  13.5490  65.0
0.260000  0.21330567  0.00005004  1.60626167  0.00205796  0.021844  13.6516  64.4
0.261000  0.21488593  0.00004902  1.60521280  0.00180298  0.022187  13.7527  62.7
0.262000  0.21643576  0.00004487  1.60106212  0.00186401  0.022532  13.8519  61.4
0.263000  0.21810125  0.00004820  1.59837573  0.00189465  0.022903  13.9585  60.1
0.264000  0.21970662  0.00004211  1.59504785  0.00184140  0.023269  14.0612  59.1
0.265000  0.22138613  0.00004526  1.59661824  0.00179526  0.023649  14.1687  57.9
0.266000  0.22292826  0.00004471  1.59306965  0.00157606  0.024005  14.2674  57.1
0.267000  0.22452981  0.00004833  1.59433574  0.00166637  0.024381  14.3699  55.6
0.268000  0.22608467  0.00004280  1.59082729  0.00167734  0.024747  14.4694  54.7
0.269000  0.22773563  0.00004293  1.58967671  0.00154295  0.025127  14.5751  54.1
0.270000  0.22920536  0.00004274  1.58266869  0.00169201  0.025483  14.6691  52.8
0.271000  0.23091640  0.00004273  1.58745635  0.00156734  0.025895  14.7786  52.1
0.272000  0.23243772  0.00004662  1.58333252  0.00151365  0.026262  14.8760  51.3
0.273000  0.23400313  0.00004256  1.58489615  0.00173942  0.026651  14.9762  50.4
0.274000  0.23562171  0.00004274  1.57907955  0.00150742  0.027040  15.0798  49.5
0.276000  0.23879060  0.00004314  1.57640029  0.00165867  0.027829  15.2826  47.7
0.277000  0.24028360  0.00004407  1.57031163  0.00160371  0.028208  15.3782  47.1
0.278000  0.24193443  0.00003879  1.56926583  0.00144481  0.028630  15.4838  45.9
0.279000  0.24343658  0.00004271  1.57038277  0.00142991  0.029016  15.5799  45.9
0.280000  0.24506785  0.00003816  1.56536721  0.00137741  0.029435  15.6843  45.0
0.281000  0.24651765  0.00004139  1.56571876  0.00143313  0.029816  15.7771  44.4
0.282000  0.24819237  0.00004110  1.56238658  0.00147988  0.030250  15.8843  43.5
0.283000  0.24973379  0.00004291  1.56058503  0.00138384  0.030660  15.9830  43.0
0.284000  0.25128819  0.00004123  1.55730096  0.00140687  0.031077  16.0824  42.3
0.285000  0.25290772  0.00004024  1.55490561  0.00140316  0.031505  16.1861  41.4
0.286000  0.25441451  0.00004287  1.55035127  0.00146772  0.031921  16.2825  40.6
0.287000  0.25598241  0.00003636  1.55137247  0.00137854  0.032344  16.3829  40.2
0.288000  0.25751932  0.00003953  1.55020921  0.00144479  0.032764  16.4812  39.4
0.289000  0.25904979  0.00003763  1.54406737  0.00149089  0.033190  16.5792  38.8
0.290000  0.26059106  0.00003872  1.54265909  0.00130600  0.033617  16.6778  38.1
0.291000  0.26211126  0.00003863  1.53927938  0.00133420  0.034042  16.7751  37.6
0.292000  0.26366329  0.00003974  1.53712966  0.00128352  0.034486  16.8745  37.2
0.293000  0.26521610  0.00003990  1.53473950  0.00127255  0.034927  16.9738  36.7
0.294000  0.26672319  0.00003810  1.53259166  0.00127107  0.035361  17.0703  36.0
0.295000  0.26829955  0.00003725  1.52937471  0.00128191  0.035807  17.1712  35.4
0.296000  0.26979368  0.00003762  1.52634193  0.00125795  0.036252  17.2668  34.8
0.297000  0.27131576  0.00003556  1.52353811  0.00120989  0.036696  17.3642  34.5
0.298000  0.27284457  0.00003630  1.52304971  0.00120213  0.037146  17.4621  34.0
0.299000  0.27429513  0.00003598  1.51964326  0.00116007  0.037582  17.5549  33.5
