# L=16 N=16  Task2 peak region: T=0.200~0.300 step 0.001 (new points only)
# therm=2000000  nmeas=100000000  nbin=200
# T  E/N  err_E/N  Cv/N  err_Cv/N  accept_rate  E_total  tau_int
0.201000  0.09072899  0.00016937  1.63100003  0.00340951  0.007547  1.4517  408.1
0.202000  0.09254372  0.00017216  1.62838197  0.00360415  0.007771  1.4807  390.8
0.203000  0.09438477  0.00018197  1.63934855  0.00352376  0.008023  1.5102  386.5
0.204000  0.09617191  0.00016335  1.63702071  0.00344436  0.008248  1.5388  374.1
0.205000  0.09763949  0.00019000  1.64333193  0.00355908  0.008459  1.5622  368.0
0.206000  0.09898982  0.00015545  1.64473355  0.00342981  0.008655  1.5838  357.5
0.207000  0.10062089  0.00018912  1.65270256  0.00346995  0.008885  1.6099  355.0
0.208000  0.10247872  0.00016949  1.64992982  0.00383148  0.009142  1.6397  343.0
0.209000  0.10425596  0.00017812  1.65439110  0.00332103  0.009396  1.6681  326.9
0.210000  0.10563660  0.00015436  1.65989664  0.00316824  0.009608  1.6902  318.8
0.211000  0.10732417  0.00017159  1.66523166  0.00335212  0.009868  1.7172  310.4
0.212000  0.10884475  0.00015355  1.66570116  0.00358185  0.010104  1.7415  296.9
0.213000  0.11055321  0.00017439  1.66582986  0.00372492  0.010357  1.7689  288.7
0.214000  0.11232568  0.00016341  1.67088493  0.00328650  0.010636  1.7972  279.6
0.215000  0.11402255  0.00015852  1.66413635  0.00360535  0.010886  1.8244  269.7
0.216000  0.11582910  0.00016230  1.67341238  0.00342463  0.011176  1.8533  265.3
0.217000  0.11732111  0.00016414  1.67598967  0.00346816  0.011419  1.8771  263.6
0.218000  0.11896773  0.00016993  1.67727636  0.00372625  0.011692  1.9035  250.3
0.219000  0.12045223  0.00015176  1.67937699  0.00361632  0.011950  1.9272  244.4
0.220000  0.12211469  0.00016068  1.67473173  0.00348784  0.012220  1.9538  236.2
0.221000  0.12374784  0.00014738  1.67638985  0.00328576  0.012499  1.9800  230.6
0.222000  0.12591981  0.00014215  1.67740149  0.00332610  0.012854  2.0147  222.3
0.223000  0.12768582  0.00014625  1.67795993  0.00310049  0.013159  2.0430  208.2
0.224000  0.12889665  0.00015047  1.68321288  0.00317348  0.013390  2.0623  210.4
0.226000  0.13260665  0.00014032  1.67571507  0.00299365  0.014039  2.1217  194.5
0.227000  0.13400683  0.00013366  1.67586496  0.00321734  0.014300  2.1441  190.2
0.228000  0.13587724  0.00013952  1.67287803  0.00322519  0.014632  2.1740  184.1
0.229000  0.13749970  0.00015077  1.67694695  0.00320496  0.014945  2.2000  176.6
0.230000  0.13914774  0.00015109  1.67549391  0.00317846  0.015255  2.2264  174.1
0.231000  0.14075739  0.00013903  1.67857872  0.00298506  0.015570  2.2521  172.0
0.232000  0.14252842  0.00012445  1.66946579  0.00297966  0.015898  2.2805  168.2
0.233000  0.14403497  0.00013376  1.68443830  0.00310318  0.016218  2.3046  162.2
0.234000  0.14575096  0.00012694  1.67396835  0.00285074  0.016539  2.3320  156.0
0.235000  0.14731612  0.00013690  1.68074101  0.00320762  0.016872  2.3571  153.0
0.236000  0.14913482  0.00013434  1.66862368  0.00306359  0.017210  2.3862  149.0
0.237000  0.15073847  0.00013702  1.67073122  0.00277524  0.017543  2.4118  143.7
0.238000  0.15261320  0.00013598  1.66674901  0.00315306  0.017923  2.4418  137.4
0.239000  0.15406024  0.00012484  1.66965145  0.00271861  0.018242  2.4650  134.4
0.240000  0.15582225  0.00012091  1.66919366  0.00276908  0.018612  2.4932  133.6
0.241000  0.15751357  0.00011731  1.66928609  0.00281237  0.018969  2.5202  128.5
0.242000  0.15928424  0.00013874  1.66564106  0.00280094  0.019342  2.5485  124.9
0.243000  0.16069615  0.00012838  1.66440324  0.00283103  0.019659  2.5711  121.8
0.244000  0.16273933  0.00011090  1.66194150  0.00278474  0.020090  2.6038  118.4
0.245000  0.16417602  0.00011873  1.65765324  0.00267530  0.020413  2.6268  115.5
